Loading internal logger. Log::Log4perl recommended for better logging
WWW::PipeViewer	0.1.5
UNIVERSAL	1.13
FileHandle	2.03
Test	1.31
subs	1.04
experimental	0.024
Carp	1.52
PerlIO	1.11
Fatal	2.34
blib	1.07
Thread	3.05
autouse	1.11
open	1.12
constant	1.33
English	1.11
_charnames	1.48
bigint	0.51
AutoSplit	1.06
DBM_Filter	0.06
Dumpvalue	1.21
base	2.27
vmsish	1.04
charnames	1.48
less	0.03
ok	1.302183
AnyDBM_File	1.01
AutoLoader	5.74
strict	1.12
Memoize	1.03_01
sigtrap	1.09
Digest	1.19
XSLoader	0.30
locale	1.10
bytes	1.08
deprecate	0.04
feature	1.64
FileCache	1.10
diagnostics	1.37
bignum	0.51
warnings	1.51
meta_notation	undef
SelfLoader	1.26
overload	1.33
version	0.9928
Test2	1.302183
integer	1.01
FindBin	1.52
NEXT	0.68
utf8	1.24
overloading	0.02
autodie	2.34
Benchmark	1.23
vars	1.05
Safe	2.43
CPAN	2.28
DB	1.08
fields	2.24
parent	0.238
version::regex	0.9928
Getopt::Std	1.13
Getopt::Long	2.52
autodie::skip	2.34
autodie::hints	2.34
autodie::exception	2.34
autodie::Util	2.34
autodie::exception::system	2.34
autodie::Scope::Guard	2.34
autodie::Scope::GuardStack	2.34
CPAN::Prompt	5.5
CPAN::Author	5.5002
CPAN::Distroprefs	6.0001
CPAN::Plugin	0.97
CPAN::FirstTime	5.5315
CPAN::Module	5.5003
CPAN::Meta	2.150010
CPAN::CacheMgr	5.5002
CPAN::Bundle	5.5005
CPAN::Distrostatus	5.5
CPAN::Version	5.5003
CPAN::Shell	5.5009
CPAN::DeferredCode	5.50
CPAN::Queue	5.5003
CPAN::Distribution	2.27
CPAN::Tarzip	5.5013
CPAN::HandleConfig	5.5011
CPAN::FTP	5.5013
CPAN::InfoObj	5.5
CPAN::URL	5.5
CPAN::Complete	5.5001
CPAN::Index	2.12
CPAN::Mirrors	2.27
CPAN::Kwalify	5.50
CPAN::Nox	5.5001
CPAN::Debug	5.5001
CPAN::Plugin::Specfile	0.02
CPAN::FTP::netrc	1.01
CPAN::Meta::Merge	2.150010
CPAN::Meta::Spec	2.150010
CPAN::Meta::Validator	2.150010
CPAN::Meta::Converter	2.150010
CPAN::Meta::Feature	2.150010
CPAN::Meta::Prereqs	2.150010
CPAN::Meta::History	2.150010
CPAN::Meta::YAML	0.018
CPAN::Meta::Requirements	2.140
CPAN::Exception::RecursiveDependency	5.5001
CPAN::Exception::yaml_not_installed	5.5
CPAN::Exception::yaml_process_error	5.5
CPAN::Exception::blocked_urllist	1.001
CPAN::LWP::UserAgent	1.9601
